state,area_nr,area_name,total_n,germans_n,foreigner_n,for_prop,pop_move_n,pop_migr_background_n,income,unemp_n,unemp_prop,votes_total,afd_votes,afd_prop,east,east_num,state_id,total_n_z,germans_n_z,foreigner_n_z,for_prop_z,pop_move_n_z,pop_migr_background_n_z,income_z,unemp_n_z,unemp_prop_z,votes_total_z,afd_votes_z,afd_prop_z
Sachsen,159,Dresden I,294400,274200,20199,6,3621120,21491,17638,20902,7,181068,41796,0.23083040625621312,yes,1,13,0.5166774331682782,1.00477539181925,-0.46734636019789927,-0.6740534445935665,-0.13345260826984767,-1.0488943104697708,-1.453945020518866,0.6085430419168301,0.5434161046486795,1.2751712132194628,2.6426607004451013,1.8902471817168445
Sachsen,160,Dresden II – Bautzen II,296400,284800,11599,4,3319679,19562,17797,20747,7,185136,43119,0.23290445942442312,yes,1,13,0.5694906131069293,1.3811178218160673,-0.9274839459377102,-1.0438552426366425,-0.3460027113712392,-1.1127441855972346,-1.3859922830519713,0.5858773809457511,0.5434161046486795,1.4783859701780713,2.8005745983530748,1.9282195821655272
Sachsen,161,Mittelsachsen,246800,239000,7800,3,1801640,6416,18604,16042,6,148887,46521,0.31245844163694614,yes,1,13,-0.7402762493716192,-0.24496550779282283,-1.1307470492197498,-1.2287561416581805,-1.4163924259818375,-1.5478766160926427,-1.041100087229431,-0.10213510207958122,0.13207074948423594,-0.332413372248822,3.206638907259292,3.384718246791594
Sachsen,162,Chemnitz,248600,231500,17099,6,6140420,16158,18611,20385,8,145888,35456,0.243035753454705,yes,1,13,-0.6927443874268332,-0.51124552901698606,-0.6332099085459706,-0.6740534445935665,1.6429397031388053,-1.225416541706041,-1.0381084572780583,0.5329420953229732,0.954761459813123,-0.482226807872929,1.885915339344156,2.113706415327686
Sachsen,163,Chemnitzer Umland – Erzgebirgskreis II,219200,216500,2699,1,745280,5480,18445,14028,6,137168,36741,0.2678540184299545,yes,1,13,-1.469098132525005,-1.0438055714653125,-1.4036728428079797,-1.5985579397012566,-2.1612460686919732,-1.5788582040238537,-1.1090528246963256,-0.39664246463282654,0.13207074948423594,-0.9178297283938401,2.0392935395042056,2.5680868094884772
Sachsen,164,Erzgebirgskreis I,267500,261600,5899,2,26750,4815,18124,16585,6,163962,47948,0.29243361266634954,yes,1,13,-0.19365983700657977,0.5574249561626557,-1.2324588574164221,-1.4136570406797184,-2.6678912350145465,-1.6008696954493404,-1.2462404267521316,-0.022732173645414275,0.13207074948423594,0.42065016294071195,3.37696629374053,3.0180975466847912
Sachsen,165,Zwickau,251100,243700,7400,3,1707480,7784,18656,16070,6,148817,38955,0.26176444895408457,yes,1,13,-0.6267279125035192,-0.0780966944923472,-1.1521487973936946,-1.2287561416581805,-1.48278590831512,-1.5025958337316416,-1.018876550447805,-0.09804066009770888,0.13207074948423594,-0.3359101846841963,2.3035576135542835,2.4565971069861177
Sachsen,166,Vogtlandkreis,232300,226400,5900,2,1835170,8130,18566,15564,6,140831,37218,0.2642742009926792,yes,1,13,-1.12317180392684,-0.692315943449417,-1.232405353045987,-1.4136570406797184,-1.3927499720456122,-1.4911432381929675,-1.0573403641083114,-0.17203307591297312,0.13207074948423594,-0.73484652909704,2.0962284822873523,2.5025464157584967
Hessen,167,Waldeck,235000,219900,15099,6,3783500,37365,21290,10340,4,140730,16410,0.11660626732040076,no,0,7,-1.051874011009661,-0.9230919618436919,-0.7402186494156942,-0.6740534445935665,-0.018956286463577252,-0.5234651151492089,0.10683106268301465,-0.9359389656737247,-0.690619960844651,-0.7398919298966514,-0.38742411610199706,-0.20100332769994583
Hessen,168,Kassel,299300,263200,36100,12,4459570,73927,19633,21848,7,165395,17286,0.10451343752834125,no,0,7,0.6460697240179735,0.6142313606904772,0.38342663408683714,0.43535194953566136,0.45774976282553004,0.6867366134201739,-0.6013304843776415,0.7468766888758023,0.5434161046486795,0.49223490893915983,-0.2828643469656519,-0.4224025581826207
