state,area_nr,area_name,total_n,germans_n,foreigner_n,pop_move_n,pop_migr_background_n,income,unemp_n,votes_total,afd_votes,afd_prop,east,state_id,total_n_z,germans_n_z,foreigner_n_z,pop_move_n_z,pop_migr_background_n_z,income_z,unemp_n_z,votes_total_z,afd_votes_z,afd_prop_z
Hamburg,23,Hamburg-Bergedorf – Harburg,329500,270600,58899,3690399,93248,23596,23394,154154,17614000,0.11426236101560777,0,6,1.443548741091606,0.8769609816316516,1.6032727756312497,-0.08460305365464502,1.3262614642950998,1.0923594438066555,0.9729483783034673,-0.06930321371858816,-0.24371411377304789,-0.2439162819983192
Niedersachsen,24,Aurich – Emden,239900,227300,12599,2902790,21111,18428,18712,141037,12875000,0.09128810170380822,0,9,-0.9224817201599657,-0.6603623409025174,-0.8739795755028484,-0.6399567519026733,-1.0614723055700488,-1.116318211721088,0.2882991869061015,-0.7245559096443671,-0.8093633671259471,-0.6645360558647946
Niedersachsen,25,Unterems,314500,285800,28699,4340100,42143,18302,15725,174953,14620000,0.08356530039496322,0,9,1.0474498915517223,1.4166218246459557,-0.012559211501574548,0.3735098591046585,-0.36531337675676556,-1.1701675508457967,-0.14849003451720721,0.9696996697578375,-0.6010793521226112,-0.8059274668372364
Niedersachsen,26,Friesland – Wilhelmshaven – Wittmund,231100,220400,10699,3258509,22878,18657,18950,137585,12492000,0.09079478140785696,0,9,-1.1548597118900308,-0.9053399604287476,-0.9756378793290857,-0.38913450103061575,-1.0029846283537558,-1.018449174740466,0.32310194375201634,-0.8969987171716819,-0.8550784260063355,-0.6735679148906125
Niedersachsen,27,Oldenburg – Ammerland,285300,266800,18500,4850100,39656,19758,17688,174668,12624000,0.07227425744841642,0,9,0.27637746444741546,0.7420457708780756,-0.5582502855667294,0.7331177179616477,-0.4476330446893747,-0.5479085209602715,0.13855959442619922,0.9554626476995279,-0.8393228443556534,-1.0126473382567243
Niedersachsen,28,Delmenhorst – Wesermarsch – Oldenburg-Land,294200,270400,23800,4795460,44424,20248,19417,168818,16393000,0.09710457415678422,0,9,0.5113961151744131,0.8698601810656739,-0.27467712226196217,0.6945903191225381,-0.2898123061679914,-0.3384944243641813,0.3913913868068155,0.6632290370289625,-0.38945324404185777,-0.5580462972759368
Niedersachsen,29,Cuxhaven – Stade II,234700,222500,12199,2863339,25816,20649,13612,140716,12652000,0.08991159498564484,0,9,-1.0597959880004586,-0.8307815544859819,-0.8953813236767931,-0.6677741825688833,-0.9057368662363431,-0.1671167657212585,-0.45747417407778684,-0.7405912923837263,-0.835980751278236,-0.6897375623273858
Niedersachsen,30,Stade I – Rotenburg II,252000,234400,17599,3250800,33012,21075,13356,151639,13479000,0.08888874234200964,0,9,-0.6029619815311262,-0.4082839208103096,-0.6064577233285398,-0.39457022060694624,-0.6675493590216043,0.014945285605138326,-0.4949090721977624,-0.19493868907525005,-0.7372696450273712,-0.7084642617097506
Niedersachsen,31,Mittelems,308200,278900,29300,3513480,57941,18813,11095,178827,9699000,0.05423677632572262,0,9,0.8810883747449711,1.1716442051197256,0.01959691512977735,-0.2093510198921346,0.15760021954374062,-0.9517785643955884,-0.8255352622339529,1.163223260824123,-1.1884522104787238,-1.3428830654669437
Niedersachsen,32,Cloppenburg – Vechta,302600,275100,27500,3540420,71111,20024,14222,162519,13146000,0.08088900374725416,0,9,0.7332114709167479,1.0367289943661495,-0.07671095165297377,-0.19035526358310068,0.5935270497296924,-0.4342265828081083,-0.3682738309012826,0.34856587230863917,-0.7770166805552285,-0.8549259253068346
