state,area_nr,area_name,total_n,germans_n,foreigner_n,for_prop,pop_move_n,pop_migr_background_n,income,unemp_n,unemp_prop,votes_total,afd_votes,afd_prop,east,east_num,state_id,total_n_c,germans_n_c,foreigner_n_c,for_prop_c,pop_move_n_c,pop_migr_background_n_c,income_c,unemp_n_c,unemp_prop_c,votes_total_c,afd_votes_c,afd_prop_c
Niedersachsen,37,Lüchow-Dannenberg – Lüneburg,230800,216500,14300,6,4731400,27926,19347,14540,6,140138,12495,0.08916211163281908,no,0,9,-44033.76923076925,-29399.65886287624,-14633.732441471573,-3.6454849498327757,921015.9765886287,-25253.662207357862,-1693.0301003344466,-2200.4548494983283,0.32107023411371216,-15403.327759197331,-7160.832775919731,-0.03842296091745449
Niedersachsen,38,Osnabrück-Land,265600,241800,23800,9,7171200,51526,21041,9561,3,150192,10939,0.0728334398636412,no,0,9,-9233.769230769249,-4099.65886287624,-5133.732441471573,-0.6454849498327757,3360815.9765886287,-1653.662207357862,0.9698996655533847,-7179.454849498328,-2.678929765886288,-5349.327759197331,-8716.832775919731,-0.05475163268663237
Niedersachsen,39,Stadt Osnabrück,254900,232400,22500,8,5735250,57607,20468,15803,6,151006,9489,0.06283856270611764,no,0,9,-19933.76923076925,-13499.65886287624,-6433.732441471573,-1.6454849498327757,1924865.9765886287,4427.337792642138,-572.0301003344466,-937.4548494983283,0.32107023411371216,-4535.327759197331,-10166.832775919731,-0.06474650984415593
Niedersachsen,40,Nienburg II – Schaumburg,246100,230300,15799,6,2756319,37653,20359,14519,5,145646,14943,0.10259808027683562,no,0,9,-28733.76923076925,-15599.65886287624,-13134.732441471573,-3.6454849498327757,-1054065.0234113713,-15526.662207357862,-681.0301003344466,-2221.4548494983283,-0.6789297658862878,-9895.327759197331,-4712.832775919731,-0.024986992273437952
Niedersachsen,41,Stadt Hannover I,257300,217000,40300,15,3910960,62009,20136,18525,7,133867,12227,0.09133692396184273,no,0,9,-17533.76923076925,-28899.65886287624,11366.267558528427,5.354515050167224,100575.97658862872,8829.337792642138,-904.0301003344466,1784.5451505016717,1.3210702341137122,-21674.32775919733,-7428.832775919731,-0.03624814858843084
Niedersachsen,42,Stadt Hannover II,274900,230900,43999,16,4178479,66250,20136,19792,7,148090,11245,0.07593355391991356,no,0,9,66.23076923075132,-14999.65886287624,15065.267558528427,6.354515050167224,368094.9765886287,13070.337792642138,-904.0301003344466,3051.5451505016717,1.3210702341137122,-7451.327759197331,-8410.832775919731,-0.05165151863036001
Niedersachsen,43,Hannover-Land I,303000,276100,26899,8,5090400,73023,20136,21816,7,180357,18364,0.10182027866952766,no,0,9,28166.23076923075,30200.34113712376,-2034.732441471573,-1.6454849498327757,1280015.9765886287,19843.337792642138,-904.0301003344466,5075.545150501672,1.3210702341137122,24815.67224080267,-1291.832775919731,-0.025764793880745915
Niedersachsen,44,Celle – Uelzen,271100,255300,15800,5,3768290,36327,19546,18977,7,160978,17549,0.10901489644547702,no,0,9,-3733.7692307692487,9400.34113712376,-13133.732441471573,-4.645484949832776,-42094.02341137128,-16852.662207357862,-1494.0301003344466,2236.5451505016717,1.3210702341137122,5436.672240802669,-2106.832775919731,-0.018570176104796554
Niedersachsen,45,Gifhorn – Peine,280100,263700,16400,5,3053090,48457,20407,14565,5,167610,18288,0.10911043493824951,no,0,9,5266.230769230751,17800.34113712376,-12533.732441471573,-4.645484949832776,-757294.0234113713,-4722.662207357862,-633.0301003344466,-2175.4548494983283,-0.6789297658862878,12068.672240802669,-1367.832775919731,-0.01847463761202406
Niedersachsen,46,Hameln-Pyrmont – Holzminden,237500,220200,17300,7,2517500,37525,20459,16387,6,138650,14052,0.10134871979805266,no,0,9,-37333.76923076925,-25699.65886287624,-11633.732441471573,-2.6454849498327757,-1292884.0234113713,-15654.662207357862,-581.0301003344466,-353.45484949832826,0.32107023411371216,-16891.32775919733,-5603.832775919731,-0.026236352752220915
Niedersachsen,47,Hannover-Land II,309300,283500,25800,8,4794150,74541,20136,22269,7,187010,19387,0.10366825303459708,no,0,9,34466.23076923075,37600.34113712376,-3133.732441471573,-1.6454849498327757,983765.9765886287,21361.337792642138,-904.0301003344466,5528.545150501672,1.3210702341137122,31468.67224080267,-268.8327759197309,-0.023916819515676493
Niedersachsen,48,Hildesheim,277100,258100,19000,6,3879400,42396,19957,18565,6,168295,15695,0.09325886092872634,no,0,9,2266.2307692307513,12200.34113712376,-9933.732441471573,-3.6454849498327757,69015.97658862872,-10783.662207357862,-1083.0301003344466,1824.5451505016717,0.32107023411371216,12753.672240802669,-3960.832775919731,-0.034326211621547226
Niedersachsen,49,Salzgitter – Wolfenbüttel,265200,243900,21299,8,4296240,48266,19830,21481,8,155710,19117,0.12277310384689487,no,0,9,-9633.769230769249,-1999.6588628762402,-7634.732441471573,-1.6454849498327757,485855.9765886287,-4913.662207357862,-1210.0301003344466,4740.545150501672,2.321070234113712,168.67224080266897,-538.8327759197309,-0.004811968703378702
Niedersachsen,50,Braunschweig,251400,227000,24400,9,3192779,53799,19803,15335,6,146548,12266,0.08369953871768977,no,0,9,-23433.76923076925,-18899.65886287624,-4533.732441471573,-0.6454849498327757,-617605.0234113713,619.3377926421381,-1237.0301003344466,-1405.4548494983283,0.32107023411371216,-8993.327759197331,-7389.832775919731,-0.0438855338325838
Niedersachsen,51,Helmstedt – Wolfsburg,241900,218900,23000,9,3362410,52734,21065,14030,5,136010,14862,0.10927137710462466,no,0,9,-32933.76923076925,-26999.65886287624,-5933.732441471573,-0.6454849498327757,-447974.0234113713,-445.6622073578619,24.969899665553385,-2710.4548494983283,-0.6789297658862878,-19531.32775919733,-4793.832775919731,-0.01831369544564891
Niedersachsen,52,Goslar – Northeim – Osterode,255200,238200,17000,6,3904560,31644,20180,17098,6,149522,15113,0.10107542702746085,no,0,9,-19633.76923076925,-7699.65886287624,-11933.732441471573,-3.6454849498327757,94175.97658862872,-21535.662207357862,-860.0301003344466,357.54515050167174,0.32107023411371216,-6019.327759197331,-4542.832775919731,-0.026509645522812722
Niedersachsen,53,Göttingen,286800,264200,22600,7,6539040,45314,19554,17208,6,169317,13443,0.07939545349846737,no,0,9,11966.230769230751,18300.34113712376,-6333.732441471573,-2.6454849498327757,2728655.9765886287,-7865.662207357862,-1486.0301003344466,467.54515050167174,0.32107023411371216,13775.672240802669,-6212.832775919731,-0.0481896190518062
Bremen,54,Bremen I,352600,302900,49700,14,3949120,93439,20582,34554,9,185913,15716,0.08453416382931801,no,0,5,77766.23076923075,57000.34113712376,20766.267558528427,4.354515050167224,138735.97658862872,40259.33779264214,-458.0301003344466,17813.54515050167,3.321070234113712,30371.67224080267,-3939.832775919731,-0.04305090872095556
Bremen,55,Bremen II – Bremerhaven,318800,266500,52300,16,6503519,84163,19465,35386,11,145826,17604,0.12071921330901211,no,0,5,43966.23076923075,20600.34113712376,23366.267558528427,6.354515050167224,2693134.9765886287,30983.337792642138,-1575.0301003344466,18645.54515050167,5.321070234113712,-9715.327759197331,-2051.832775919731,-0.006865859241261457
Brandenburg,56,Prignitz – Ostprignitz-Ruppin – Havelland I,209500,203800,5699,2,2011199,6704,17936,18645,8,118408,22185,0.1873606513073441,yes,1,4,-65333.76923076925,-42099.65886287624,-23234.732441471573,-7.645484949832776,-1799185.0234113713,-46475.66220735786,-3104.0301003344466,1904.5451505016717,2.321070234113712,-37133.32775919733,2529.167224080269,0.05977557875707054
Brandenburg,57,Uckermark – Barnim I,219900,212800,7099,3,2726760,9015,18121,22649,10,128039,26608,0.20781168237802544,yes,1,4,-54933.76923076925,-33099.65886287624,-21834.732441471573,-6.645484949832776,-1083624.0234113713,-44164.66220735786,-2919.0301003344466,5908.545150501672,4.321070234113712,-27502.32775919733,6952.167224080269,0.08022660982775187
Brandenburg,58,Oberhavel – Havelland II,295800,287100,8699,2,5590620,15085,18806,19818,6,182563,33982,0.18613848370151673,yes,1,4,20966.23076923075,41200.34113712376,-20234.732441471573,-7.645484949832776,1780235.9765886287,-38094.66220735786,-2234.0301003344466,3077.5451505016717,0.32107023411371216,27021.67224080267,14326.167224080269,0.05855341115124316
Brandenburg,59,Märkisch-Oderland – Barnim II,269300,262100,7199,2,4712750,11041,18742,18851,7,167678,34702,0.20695618984005057,yes,1,4,-5533.769230769249,16200.34113712376,-21734.732441471573,-7.645484949832776,902365.9765886287,-42138.66220735786,-2298.0301003344466,2110.5451505016717,1.3210702341137122,12136.672240802669,15046.167224080269,0.079371117289777
Brandenburg,60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,220300,213200,7100,3,3326530,10133,18930,15421,7,126138,22631,0.17941460939605827,yes,1,4,-54533.76923076925,-32699.65886287624,-21833.732441471573,-6.645484949832776,-483854.0234113713,-43046.66220735786,-2110.0301003344466,-1319.4548494983283,1.3210702341137122,-29403.32775919733,2975.167224080269,0.0518295368457847
Brandenburg,61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,310500,294100,16399,5,6489450,19561,19217,18630,6,193865,26133,0.13479998968354268,yes,1,4,35666.23076923075,48200.34113712376,-12534.732441471573,-4.645484949832776,2679065.9765886287,-33618.66220735786,-1823.0301003344466,1889.5451505016717,0.32107023411371216,38323.67224080267,6477.167224080269,0.007214917133269105
Brandenburg,62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,300900,290200,10699,3,5205570,14443,19225,17452,5,184910,38900,0.2103726137039641,yes,1,4,26066.23076923075,44300.34113712376,-18234.732441471573,-6.645484949832776,1395185.9765886287,-38736.66220735786,-1815.0301003344466,711.5451505016717,-0.6789297658862878,29368.67224080267,19244.16722408027,0.08278754115369052
Brandenburg,63,Frankfurt (Oder) – Oder-Spree,240500,226100,14400,6,5916300,11543,18268,19721,8,137987,30475,0.22085413843333068,yes,1,4,-34333.76923076925,-19799.65886287624,-14533.732441471573,-3.6454849498327757,2105915.9765886287,-41636.66220735786,-2772.0301003344466,2980.5451505016717,2.321070234113712,-17554.32775919733,10819.167224080269,0.09326906588305711
Brandenburg,64,Cottbus – Spree-Neiße,217300,209100,8200,3,1216879,10647,18308,19122,8,130027,34902,0.2684211740638483,yes,1,4,-57533.76923076925,-36799.65886287624,-20733.732441471573,-6.645484949832776,-2593505.0234113713,-42532.66220735786,-2732.0301003344466,2381.5451505016717,2.321070234113712,-25514.32775919733,15246.167224080269,0.14083610151357473
Brandenburg,65,Elbe-Elster – Oberspreewald-Lausitz II,200900,196800,4099,2,462070,5424,17818,19286,9,121144,30564,0.2522947896717955,yes,1,4,-73933.76923076925,-49099.65886287624,-24834.732441471573,-7.645484949832776,-3348314.0234113713,-47755.66220735786,-3222.0301003344466,2545.5451505016717,3.321070234113712,-34397.32775919733,10908.167224080269,0.12470971712152196
Sachsen-Anhalt,66,Altmark,201400,194600,6800,3,1933440,5840,17755,19938,9,109864,18419,0.16765273428966723,yes,1,14,-73433.76923076925,-51299.65886287624,-22133.732441471573,-6.645484949832776,-1876944.0234113713,-47339.66220735786,-3285.0301003344466,3197.5451505016717,3.321070234113712,-45677.32775919733,-1236.832775919731,0.04006766173939366
Sachsen-Anhalt,67,Börde – Jerichower Land,265200,257600,7599,2,2439839,7160,19054,19094,7,148085,27947,0.18872269304791167,yes,1,14,-9633.769230769249,11700.34113712376,-21334.732441471573,-7.645484949832776,-1370545.0234113713,-46019.66220735786,-1986.0301003344466,2353.5451505016717,1.3210702341137122,-7456.327759197331,8291.167224080269,0.0611376204976381
Sachsen-Anhalt,68,Harz,257399,248500,8899,3,3963959,7207,17779,19562,7,141530,23859,0.16857909983749028,yes,1,14,-17434.76923076925,2600.34113712376,-20034.732441471573,-6.645484949832776,153574.97658862872,-45972.66220735786,-3261.0301003344466,2821.5451505016717,1.3210702341137122,-14011.327759197331,4203.167224080269,0.04099402728721671
Sachsen-Anhalt,69,Magdeburg,292400,276200,16199,5,4532200,18713,16976,29240,10,160769,26053,0.16205238572112782,yes,1,14,17566.23076923075,30300.34113712376,-12734.732441471573,-4.645484949832776,721815.9765886287,-34466.66220735786,-4064.0301003344466,12499.545150501672,4.321070234113712,5227.672240802669,6397.167224080269,0.03446731317085425
Sachsen-Anhalt,70,Dessau – Wittenberg,211400,204400,7000,3,1331820,6764,18156,19237,9,121666,24310,0.1998093140236385,yes,1,14,-63433.76923076925,-41499.65886287624,-21933.732441471573,-6.645484949832776,-2478564.0234113713,-46415.66220735786,-2884.0301003344466,2496.5451505016717,3.321070234113712,-33875.32775919733,4654.167224080269,0.07222424147336493
Sachsen-Anhalt,71,Anhalt,268800,260700,8100,3,1962240,8870,17535,24729,9,145518,32346,0.222281779573661,yes,1,14,-6033.769230769249,14800.34113712376,-20833.732441471573,-6.645484949832776,-1848144.0234113713,-44309.66220735786,-3505.0301003344466,7988.545150501672,3.321070234113712,-10023.327759197331,12690.167224080269,0.09469670702338742
Sachsen-Anhalt,72,Halle,270400,253300,17099,6,5191679,17305,16697,26499,9,150299,26735,0.17787876166840763,yes,1,14,-4433.769230769249,7400.34113712376,-11834.732441471573,-3.6454849498327757,1381294.9765886287,-35874.66220735786,-4343.030100334447,9758.545150501672,3.321070234113712,-5242.327759197331,7079.167224080269,0.05029368911813406
Sachsen-Anhalt,73,Burgenland – Saalekreis,231800,222700,9100,3,1668960,6954,17949,20398,8,129199,31780,0.24597713604594462,yes,1,14,-43033.76923076925,-23199.65886287624,-19833.732441471573,-6.645484949832776,-2141424.0234113713,-46225.66220735786,-3091.0301003344466,3657.5451505016717,2.321070234113712,-26342.32775919733,12124.167224080269,0.11839206349567105
