state,area_nr,area_name,total_n,germans_n,foreigner_n,pop_move_n,pop_migr_background_n,income,unemp_n,votes_total,afd_votes,afd_prop,east,state_id
Nordrhein-Westfalen,88,Aachen II,308000,274400,33600,4589200,75768,19652,25256,171601,14848,0.08652630229427567,0,10
Nordrhein-Westfalen,89,Heinsberg,252500,225400,27099,3939000,52015,18979,15150,140891,12312,0.08738670319608775,0,10
Nordrhein-Westfalen,90,Düren,262800,237400,25400,4651560,50194,20228,18921,150136,14432,0.09612617893110247,0,10
Nordrhein-Westfalen,91,Rhein-Erft-Kreis I,336100,297200,38900,5680090,73942,21542,23863,189879,18091,0.09527646553857984,0,10
Nordrhein-Westfalen,92,Euskirchen – Rhein-Erft-Kreis II,321700,293400,28300,5758429,59514,21000,19945,186199,18324,0.0984108400152525,0,10
Nordrhein-Westfalen,93,Köln I,291400,228800,62599,2943140,94122,20799,24768,138631,12282,0.08859490301591996,0,10
Nordrhein-Westfalen,94,Köln II,316900,275100,41799,3200689,102358,20799,26936,197078,9964,0.05055866205258831,0,10
Nordrhein-Westfalen,95,Köln III,304500,245300,59199,3075450,98353,20799,25882,149523,11731,0.0784561572467112,0,10
Nordrhein-Westfalen,96,Bonn,318800,272200,46600,4240040,98828,23005,21359,179207,13130,0.07326722728464848,0,10
Nordrhein-Westfalen,97,Rhein-Sieg-Kreis I,312800,282400,30400,5348880,69128,22669,16265,182749,18238,0.09979808371044438,0,10
Nordrhein-Westfalen,98,Rhein-Sieg-Kreis II,283400,258000,25399,5781359,62631,22669,14736,173161,15225,0.08792395516311409,0,10
Nordrhein-Westfalen,99,Oberbergischer Kreis,273500,249600,23900,3664900,73571,22192,15042,155033,16409,0.1058419820296324,0,10
Nordrhein-Westfalen,100,Rheinisch-Bergischer Kreis,282700,258399,24300,4014339,53995,24567,17810,172947,13814,0.07987418110750692,0,10
Nordrhein-Westfalen,101,Leverkusen – Köln IV,311300,257200,54100,3735600,100238,20442,26460,153667,14984,0.09750954987082458,0,10
Nordrhein-Westfalen,102,Wuppertal I,308600,252800,55800,4567280,98134,20746,29625,148559,16434,0.11062271555408962,0,10
Nordrhein-Westfalen,103,Solingen – Remscheid – Wuppertal II,309600,266100,43500,4024800,91951,22492,27554,162468,16221,0.09984119949774725,0,10
Nordrhein-Westfalen,104,Mettmann I,266900,239400,27499,3736599,65123,24519,17081,159165,15053,0.09457481230169949,0,10
Nordrhein-Westfalen,105,Mettmann II,216400,190800,25599,3570600,52801,24519,13849,124443,11926,0.09583504094243951,0,10
Nordrhein-Westfalen,106,Düsseldorf I,324000,263000,61000,3628799,106596,24128,24948,171910,12029,0.06997266011284975,0,10
Nordrhein-Westfalen,107,Düsseldorf II,288200,234600,53599,3227839,94817,24128,22191,142546,12968,0.09097414168058031,0,10
Nordrhein-Westfalen,108,Neuss I,295700,257700,38000,5854860,68011,23689,16854,158773,14893,0.09380058322258822,0,10
Nordrhein-Westfalen,109,Mönchengladbach,260000,225900,34099,3848000,67080,20705,25740,130836,12373,0.09456877312054786,0,10
Nordrhein-Westfalen,110,Krefeld I – Neuss II,269400,239900,29499,4229579,67888,22513,21013,154179,12104,0.07850615194027721,0,10
Nordrhein-Westfalen,111,Viersen,297700,271500,26199,3602169,50013,21988,19945,172016,12841,0.07465003255511116,0,10
Nordrhein-Westfalen,112,Kleve,310300,269100,41199,6609390,56784,19649,19859,167653,11621,0.06931578915975259,0,10
Nordrhein-Westfalen,113,Wesel I,263500,244300,19199,4268700,50065,20936,18708,159095,14325,0.09004054181463905,0,10
Nordrhein-Westfalen,114,Krefeld II – Wesel II,241800,212700,29100,3892980,56097,20940,21036,132412,12172,0.09192520315379271,0,10
Nordrhein-Westfalen,115,Duisburg I,243000,203700,39300,3353400,75815,16761,31833,119621,13549,0.11326606532297841,0,10
Nordrhein-Westfalen,116,Duisburg II,248200,200000,48199,3425160,77438,16761,32514,101888,15719,0.15427724560301506,0,10
Nordrhein-Westfalen,117,Oberhausen – Wesel III,278400,245100,33299,3145920,62361,18676,27840,148852,18559,0.12468089108644828,0,10
Nordrhein-Westfalen,118,Mülheim – Essen I,252400,221900,30500,4442240,60323,21940,23725,141660,16200,0.11435832274459974,0,10
Nordrhein-Westfalen,119,Essen II,246200,200500,45699,4530079,60318,20046,29297,109215,16339,0.14960399212562378,0,10
Nordrhein-Westfalen,120,Essen III,253300,226700,26600,4660720,62058,20046,30142,152409,12735,0.08355805759502391,0,10
Nordrhein-Westfalen,121,Recklinghausen I,217900,197200,20700,2331529,43797,19382,22879,122884,14776,0.12024348165749812,0,10
Nordrhein-Westfalen,122,Recklinghausen II,249000,224200,24800,3137400,50049,19382,26145,139515,17386,0.12461742464967925,0,10
Nordrhein-Westfalen,123,Gelsenkirchen,260399,216100,44299,3619560,76557,16135,36716,118066,20113,0.17035386986939507,0,10
Nordrhein-Westfalen,124,Steinfurt I – Borken I,272200,245200,27000,3565819,42463,20497,11976,153570,9718,0.06328058865663867,0,10
Nordrhein-Westfalen,125,Bottrop – Recklinghausen III,268000,242800,25199,3644799,57620,19296,25460,150528,18719,0.12435560161564625,0,10
