state,area_nr,area_name,total_n,germans_n,foreigner_n,for_prop,pop_move_n,pop_migr_background_n,income,unemp_n,unemp_prop,votes_total,afd_votes,afd_prop,east,east_num,state_id
Nordrhein-Westfalen,147,Hochsauerlandkreis,263800,242700,21100,8,3376640,45901,22750,12662,4,152814,12216,0.07994031960422475,no,0,10
Nordrhein-Westfalen,148,Siegen-Wittgenstein,280800,253300,27500,9,5700240,56721,23366,15163,5,160964,17160,0.10660768867572873,no,0,10
Nordrhein-Westfalen,149,Olpe – Märkischer Kreis I,280600,250000,30600,10,3142720,64818,25863,15433,5,151288,13847,0.09152741790492307,no,0,10
Nordrhein-Westfalen,150,Märkischer Kreis II,272000,241000,31000,11,2312000,76160,24680,18224,6,144207,16682,0.11568093088407637,no,0,10
Sachsen,151,Nordsachsen,197600,192100,5500,2,1679600,5335,18348,16598,8,116556,31302,0.26855760321218985,yes,1,13
Sachsen,152,Leipzig I,275200,254800,20399,7,7540480,22291,16542,22841,8,159937,33289,0.20813820441798958,yes,1,13
Sachsen,153,Leipzig II,285200,263700,21500,7,7814480,23101,16542,23671,8,173798,27769,0.15977744277839792,yes,1,13
Sachsen,154,Leipzig-Land,258399,253100,5299,2,2248079,7235,19319,17054,6,159392,42824,0.26867094960851234,yes,1,13
Sachsen,155,Meißen,245200,238600,6599,2,2697200,8091,19013,17654,7,150919,49618,0.3287723878371842,yes,1,13
Sachsen,156,Bautzen I,259300,254100,5200,2,1063129,8297,18623,17891,6,158833,52040,0.3276397222239711,yes,1,13
Sachsen,157,Görlitz,260000,251000,9000,3,1950000,11700,17483,26520,10,153713,50553,0.3288791448999109,yes,1,13
Sachsen,158,Sächsische Schweiz-Osterzgebirge,247400,240800,6599,2,2894580,7174,18735,15833,6,154371,54746,0.3546391485447396,yes,1,13
Sachsen,159,Dresden I,294400,274200,20199,6,3621120,21491,17638,20902,7,181068,41796,0.23083040625621312,yes,1,13
Sachsen,160,Dresden II – Bautzen II,296400,284800,11599,4,3319679,19562,17797,20747,7,185136,43119,0.23290445942442312,yes,1,13
Sachsen,161,Mittelsachsen,246800,239000,7800,3,1801640,6416,18604,16042,6,148887,46521,0.31245844163694614,yes,1,13
Sachsen,162,Chemnitz,248600,231500,17099,6,6140420,16158,18611,20385,8,145888,35456,0.243035753454705,yes,1,13
Sachsen,163,Chemnitzer Umland – Erzgebirgskreis II,219200,216500,2699,1,745280,5480,18445,14028,6,137168,36741,0.2678540184299545,yes,1,13
Sachsen,164,Erzgebirgskreis I,267500,261600,5899,2,26750,4815,18124,16585,6,163962,47948,0.29243361266634954,yes,1,13
Sachsen,165,Zwickau,251100,243700,7400,3,1707480,7784,18656,16070,6,148817,38955,0.26176444895408457,yes,1,13
Sachsen,166,Vogtlandkreis,232300,226400,5900,2,1835170,8130,18566,15564,6,140831,37218,0.2642742009926792,yes,1,13
Hessen,167,Waldeck,235000,219900,15099,6,3783500,37365,21290,10340,4,140730,16410,0.11660626732040076,no,0,7
Hessen,168,Kassel,299300,263200,36100,12,4459570,73927,19633,21848,7,165395,17286,0.10451343752834125,no,0,7
Hessen,169,Werra-Meißner – Hersfeld-Rotenburg,221900,207200,14700,6,3727920,31066,19842,11538,5,131063,17173,0.13102858930438033,no,0,7
Hessen,170,Schwalm-Eder,237400,224000,13400,5,2350260,34897,20606,11395,4,143054,18504,0.12934975603618215,no,0,7
Hessen,171,Marburg,245200,220800,24399,10,4143879,46342,19718,9808,4,140784,16127,0.11455136947380384,no,0,7
Hessen,172,Lahn-Dill,275400,250900,24499,8,2919240,61138,21649,15422,5,152795,20930,0.13698092215059393,no,0,7
Hessen,173,Gießen,286500,258100,28399,9,3352049,63603,19880,16617,5,164311,20357,0.12389310514816415,no,0,7
Hessen,174,Fulda,271000,251900,19099,7,4607000,43360,20727,9214,3,158626,25134,0.1584481736915764,no,0,7
Hessen,175,Main-Kinzig – Wetterau II – Schotten,232200,212300,19899,8,2879279,52245,21761,10681,4,136022,20921,0.1538060019702695,no,0,7
Hessen,176,Hochtaunus,250300,218900,31400,12,3579290,57318,27206,10012,4,144609,16132,0.11155598890802094,no,0,7
Hessen,177,Wetterau I,237700,211000,26699,11,4135979,45400,22008,10696,4,137220,15895,0.11583588398192683,no,0,7
Hessen,178,Rheingau-Taunus – Limburg,294000,262700,31300,10,3351600,52332,22673,14112,4,171621,20364,0.11865680773331935,no,0,7
Hessen,179,Wiesbaden,276200,227900,48299,17,745740,93355,22243,20162,7,138226,15496,0.11210626076136183,no,0,7
Hessen,180,Hanau,254200,213200,41000,16,3507960,62533,21744,11947,4,132320,18625,0.14075725513905682,no,0,7
Hessen,181,Main-Taunus,278000,237200,40800,14,3753000,71446,26355,10563,3,158860,16395,0.1032040790633262,no,0,7
Hessen,182,Frankfurt am Main I,365100,250000,115100,31,5987639,161374,20555,22636,6,143049,13329,0.09317786213115785,no,0,7
Hessen,183,Frankfurt am Main II,367600,277400,90200,24,6028639,162479,20555,22791,6,170775,13737,0.08043917435221783,no,0,7
Hessen,184,Groß-Gerau,266000,213400,52599,19,5054000,85386,20066,15427,5,131180,15943,0.12153529501448392,no,0,7
Hessen,185,Offenbach,355200,267800,87399,24,6251520,130713,20901,23443,6,161293,19051,0.11811423930362756,no,0,7
Hessen,186,Darmstadt,341800,289700,52100,15,6425840,91944,22135,17773,5,190532,18685,0.0980675162177482,no,0,7
Hessen,187,Odenwald,319200,279700,39500,12,5266800,80119,22034,15640,4,182234,22259,0.12214515403272715,no,0,7
Hessen,188,Bergstraße,266900,236100,30799,11,3950120,48575,22341,10142,3,154080,19931,0.1293548805815161,no,0,7
Thüringen,189,Eichsfeld – Nordhausen – Kyffhäuserkreis,263800,256500,7300,2,2057639,7386,17475,18993,7,155929,32854,0.21069845891399291,yes,1,16
Thüringen,190,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,273300,264300,9000,3,3088290,8199,18020,18584,6,160880,35821,0.22265663848831427,yes,1,16
Thüringen,191,Jena – Sömmerda – Weimarer Land I,255800,244200,11600,4,2506840,10487,17558,15348,6,153336,30421,0.19839437574998695,yes,1,16
Thüringen,192,Gotha – Ilm-Kreis,246500,235000,11500,4,3401700,9860,17733,15283,6,145876,35093,0.24056733115796977,yes,1,16
