Jahr,Bundesland,Wert,Indikator
1989,Mecklenburg-Vorpommern,55.26,frost_days
1990,Mecklenburg-Vorpommern,40.9,frost_days
1991,Mecklenburg-Vorpommern,73.49,frost_days
1992,Mecklenburg-Vorpommern,58.68,frost_days
1993,Mecklenburg-Vorpommern,83.9,frost_days
1994,Mecklenburg-Vorpommern,55.35,frost_days
1995,Mecklenburg-Vorpommern,91.18,frost_days
1996,Mecklenburg-Vorpommern,128.94,frost_days
1997,Mecklenburg-Vorpommern,91.18,frost_days
1998,Mecklenburg-Vorpommern,64.85,frost_days
1999,Mecklenburg-Vorpommern,65.15,frost_days
2000,Mecklenburg-Vorpommern,46.69,frost_days
2001,Mecklenburg-Vorpommern,86.88,frost_days
2002,Mecklenburg-Vorpommern,72.13,frost_days
2003,Mecklenburg-Vorpommern,97.7,frost_days
2004,Mecklenburg-Vorpommern,76.56,frost_days
2005,Mecklenburg-Vorpommern,91.84,frost_days
2006,Mecklenburg-Vorpommern,77.65,frost_days
2007,Mecklenburg-Vorpommern,44.22,frost_days
2008,Mecklenburg-Vorpommern,56.87,frost_days
2009,Mecklenburg-Vorpommern,79.94,frost_days
2010,Mecklenburg-Vorpommern,114.91,frost_days
2011,Mecklenburg-Vorpommern,74.04,frost_days
2012,Mecklenburg-Vorpommern,75.49,frost_days
2013,Mecklenburg-Vorpommern,90.78,frost_days
2014,Mecklenburg-Vorpommern,47.88,frost_days
2015,Mecklenburg-Vorpommern,52.72,frost_days
2016,Mecklenburg-Vorpommern,75.31,frost_days
2017,Mecklenburg-Vorpommern,64.25,frost_days
2018,Mecklenburg-Vorpommern,69.99,frost_days
2019,Mecklenburg-Vorpommern,52.16,frost_days
2020,Mecklenburg-Vorpommern,39.96,frost_days
2021,Mecklenburg-Vorpommern,76.56,frost_days
2022,Mecklenburg-Vorpommern,63.13,frost_days
2023,Mecklenburg-Vorpommern,60.82,frost_days
2024,Mecklenburg-Vorpommern,43.18,frost_days
2025,Mecklenburg-Vorpommern,68.77,frost_days
1951,Niedersachsen,71.65,frost_days
1952,Niedersachsen,98.45,frost_days
1953,Niedersachsen,73.49,frost_days
1954,Niedersachsen,84.46,frost_days
1955,Niedersachsen,104.62,frost_days
1956,Niedersachsen,95.55,frost_days
1957,Niedersachsen,64.21,frost_days
1958,Niedersachsen,86.05,frost_days
1959,Niedersachsen,77.34,frost_days
1960,Niedersachsen,69.02,frost_days
1961,Niedersachsen,59.24,frost_days
1962,Niedersachsen,86.64,frost_days
1963,Niedersachsen,103.13,frost_days
1964,Niedersachsen,89,frost_days
1965,Niedersachsen,86.48,frost_days
1966,Niedersachsen,73.52,frost_days
1967,Niedersachsen,52.99,frost_days
1968,Niedersachsen,85.8,frost_days
1969,Niedersachsen,107.7,frost_days
1970,Niedersachsen,94.04,frost_days
1971,Niedersachsen,69.8,frost_days
1972,Niedersachsen,74.45,frost_days
1973,Niedersachsen,71.34,frost_days
1974,Niedersachsen,34.75,frost_days
1975,Niedersachsen,58.64,frost_days
1976,Niedersachsen,88.41,frost_days
1977,Niedersachsen,55.75,frost_days
1978,Niedersachsen,80.01,frost_days
1979,Niedersachsen,91.55,frost_days
1980,Niedersachsen,91.44,frost_days
1981,Niedersachsen,86.62,frost_days
1982,Niedersachsen,72,frost_days
1983,Niedersachsen,64.91,frost_days
1984,Niedersachsen,79.81,frost_days
1985,Niedersachsen,92.17,frost_days
1986,Niedersachsen,75.36,frost_days
1987,Niedersachsen,85.7,frost_days
1988,Niedersachsen,52.67,frost_days
1989,Niedersachsen,52.03,frost_days
1990,Niedersachsen,38.98,frost_days
1991,Niedersachsen,74.86,frost_days
1992,Niedersachsen,47.87,frost_days
1993,Niedersachsen,73.47,frost_days
1994,Niedersachsen,46.61,frost_days
1995,Niedersachsen,78.68,frost_days
1996,Niedersachsen,108.86,frost_days
1997,Niedersachsen,68.97,frost_days
1998,Niedersachsen,53.98,frost_days
1999,Niedersachsen,52.73,frost_days
2000,Niedersachsen,38.23,frost_days
2001,Niedersachsen,75.88,frost_days
2002,Niedersachsen,58.09,frost_days
2003,Niedersachsen,85.59,frost_days
2004,Niedersachsen,67.34,frost_days
2005,Niedersachsen,71.9,frost_days
2006,Niedersachsen,77.38,frost_days
2007,Niedersachsen,38.9,frost_days
2008,Niedersachsen,54.35,frost_days
2009,Niedersachsen,69.18,frost_days
2010,Niedersachsen,105.59,frost_days
2011,Niedersachsen,67.06,frost_days
2012,Niedersachsen,62.63,frost_days
2013,Niedersachsen,87.07,frost_days
2014,Niedersachsen,43.8,frost_days
2015,Niedersachsen,45.63,frost_days
2016,Niedersachsen,70.89,frost_days
2017,Niedersachsen,52.92,frost_days
2018,Niedersachsen,64.69,frost_days
2019,Niedersachsen,50.07,frost_days
2020,Niedersachsen,33.8,frost_days
2021,Niedersachsen,64.85,frost_days
2022,Niedersachsen,52.53,frost_days
2023,Niedersachsen,53.07,frost_days
2024,Niedersachsen,35.49,frost_days
2025,Niedersachsen,69.5,frost_days
1951,Niedersachsen/Hamburg/Bremen,71.51,frost_days
1952,Niedersachsen/Hamburg/Bremen,98.32,frost_days
1953,Niedersachsen/Hamburg/Bremen,73.31,frost_days
1954,Niedersachsen/Hamburg/Bremen,84.37,frost_days
1955,Niedersachsen/Hamburg/Bremen,104.56,frost_days
1956,Niedersachsen/Hamburg/Bremen,95.4,frost_days
1957,Niedersachsen/Hamburg/Bremen,64.02,frost_days
1958,Niedersachsen/Hamburg/Bremen,85.99,frost_days
1959,Niedersachsen/Hamburg/Bremen,77.15,frost_days
1960,Niedersachsen/Hamburg/Bremen,68.92,frost_days
1961,Niedersachsen/Hamburg/Bremen,59.16,frost_days
1962,Niedersachsen/Hamburg/Bremen,86.48,frost_days
1963,Niedersachsen/Hamburg/Bremen,103.05,frost_days
1964,Niedersachsen/Hamburg/Bremen,88.93,frost_days
1965,Niedersachsen/Hamburg/Bremen,86.37,frost_days
1966,Niedersachsen/Hamburg/Bremen,73.46,frost_days
1967,Niedersachsen/Hamburg/Bremen,52.85,frost_days
1968,Niedersachsen/Hamburg/Bremen,85.66,frost_days
1969,Niedersachsen/Hamburg/Bremen,107.67,frost_days
1970,Niedersachsen/Hamburg/Bremen,93.99,frost_days
1971,Niedersachsen/Hamburg/Bremen,69.53,frost_days
1972,Niedersachsen/Hamburg/Bremen,74.22,frost_days
1973,Niedersachsen/Hamburg/Bremen,71.01,frost_days
1974,Niedersachsen/Hamburg/Bremen,34.56,frost_days
1975,Niedersachsen/Hamburg/Bremen,58.45,frost_days
1976,Niedersachsen/Hamburg/Bremen,88.27,frost_days
1977,Niedersachsen/Hamburg/Bremen,55.63,frost_days
1978,Niedersachsen/Hamburg/Bremen,79.86,frost_days
1979,Niedersachsen/Hamburg/Bremen,91.47,frost_days
1980,Niedersachsen/Hamburg/Bremen,91.45,frost_days
1981,Niedersachsen/Hamburg/Bremen,86.53,frost_days
1982,Niedersachsen/Hamburg/Bremen,71.94,frost_days
1983,Niedersachsen/Hamburg/Bremen,64.84,frost_days
1984,Niedersachsen/Hamburg/Bremen,79.72,frost_days
1985,Niedersachsen/Hamburg/Bremen,92.04,frost_days
1986,Niedersachsen/Hamburg/Bremen,75.33,frost_days
1987,Niedersachsen/Hamburg/Bremen,85.63,frost_days
1988,Niedersachsen/Hamburg/Bremen,52.55,frost_days
1989,Niedersachsen/Hamburg/Bremen,51.89,frost_days
1990,Niedersachsen/Hamburg/Bremen,38.79,frost_days
1991,Niedersachsen/Hamburg/Bremen,74.65,frost_days
1992,Niedersachsen/Hamburg/Bremen,47.77,frost_days
1993,Niedersachsen/Hamburg/Bremen,73.38,frost_days
1994,Niedersachsen/Hamburg/Bremen,46.49,frost_days
1995,Niedersachsen/Hamburg/Bremen,78.58,frost_days
