Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;Tierschutzallianz;B*;DKP;Die Grauen;du.;MG;MENSCHLICHE WELT;Gesundheitsforschung;V-Partei³;Bündnis C;DIE EINHEIT;DIE VIOLETTEN;FAMILIE;DIE FRAUEN;MIETERPARTEI;Neue Liberale;UNABHÄNGIGE;Übrige;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;AD-DEMOKRATEN;Tierschutzallianz;B*;BGE;DiB;DKP;DM;Die Grauen;du.;MG;MENSCHLICHE WELT;Die Humanisten;Gesundheitsforschung;V-Partei³
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
NI;03353;Harburg;199081;161837;1325;160512;65223;44017;8638;14565;0;10458;14826;0;0;2785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;982;160855;57815;35377;10117;16410;0;18839;16047;475;358;1340;1632;198;1238;0;0;0;35;0;0;0;0;0;0;209;240;31;201;0;0;0;0;0;0;293
NI;03354;Lüchow-Dannenberg;39216;29077;326;28751;10150;8074;2512;4466;0;1396;2153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224;28853;9507;6945;2836;3849;0;2226;2241;89;68;119;314;24;289;0;0;0;17;0;0;0;0;0;0;200;53;11;29;0;0;0;0;0;0;36
NI;03355;Lüneburg;141649;111923;1056;110867;36590;31095;9217;16138;0;7849;9978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;637;111286;34354;25920;9869;15057;0;10733;10257;397;327;433;1192;226;1098;0;0;0;19;0;0;0;0;0;0;681;259;25;234;0;0;0;0;0;0;205
NI;03356;Osterholz;90283;70773;551;70222;25657;23348;6331;4759;0;3486;5984;0;0;499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158;513;70260;24072;18872;5746;6296;0;6023;6737;233;174;302;711;68;552;0;0;0;20;0;0;0;0;0;0;117;123;7;125;0;0;0;0;0;0;82
NI;03357;Rotenburg (Wümme);128993;99273;753;98520;43549;31758;4366;5750;0;4700;7216;349;0;699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;133;641;98632;40479;24686;5722;7933;0;8456;7961;306;353;632;802;76;681;0;0;0;26;0;0;0;0;0;0;129;138;12;129;0;0;0;0;0;0;111
NI;03358;Heidekreis;108680;81721;635;81086;28257;35205;3088;3419;0;3491;6938;0;0;688;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;634;81087;30538;22812;4498;5913;0;6732;7872;256;297;375;760;81;528;0;0;0;15;0;0;0;0;0;0;114;66;5;142;0;0;0;0;0;0;83
NI;03359;Stade;157077;121081;952;120129;51270;34287;6657;8577;0;7298;10729;985;0;227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;670;120411;44796;29928;7813;10064;0;11894;11404;546;422;669;1099;107;925;0;0;0;25;0;0;0;0;0;0;247;148;21;171;0;0;0;0;0;0;132
NI;03360;Uelzen;75321;57246;494;56752;22782;18790;2986;3766;0;3088;4830;0;0;510;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;448;56798;20324;15677;3614;4956;0;5054;5320;196;152;216;527;65;388;0;0;0;8;0;0;0;0;0;0;91;58;9;72;0;0;0;0;0;0;71
NI;03361;Verden;105853;82263;717;81546;33903;25157;4383;5387;0;4787;7011;0;0;573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;345;725;81538;28963;21175;5309;7756;0;7441;7938;327;180;329;734;57;700;0;0;0;15;0;0;0;0;0;0;226;105;12;159;0;0;0;0;0;0;112
NI;03401;Delmenhorst, Stadt;57062;40108;581;39527;12034;13990;2966;2253;0;2768;5044;0;0;472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;417;39691;12137;11689;3139;2610;0;3320;5185;188;132;245;411;46;332;0;0;0;12;0;0;0;0;0;0;54;42;10;86;0;0;0;0;0;0;53
NI;03402;Emden, Stadt;38327;27387;644;26743;5900;14236;2394;1741;0;1321;0;522;0;598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;277;27110;6104;10369;2698;2311;0;1928;2707;128;69;142;220;15;231;0;0;0;17;0;0;0;0;0;0;45;36;18;41;0;0;0;0;0;0;31
NI;03403;Oldenburg (Oldenburg), Stadt;129052;100550;1033;99517;26611;36220;10350;13182;0;5662;6243;0;0;799;0;450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;743;99807;26893;25590;11559;15112;0;9514;6678;457;175;379;836;216;1366;0;0;0;59;0;0;0;0;0;0;288;211;44;173;0;0;0;0;0;0;257
